Category: All categories

Day,AirAsia X: (Malaysia),Nestlé: (Malaysia),Maxis Communications: (Malaysia),Aeon Credit Service M Bhd: (Malaysia)
2019-01-01,2,3,86,12
2019-01-02,1,4,74,27
2019-01-03,1,9,78,23
2019-01-04,1,7,89,21
2019-01-05,1,4,86,16
2019-01-06,1,8,68,10
2019-01-07,2,8,85,20
2019-01-08,3,7,77,17
2019-01-09,2,7,75,18
2019-01-10,2,7,83,13
2019-01-11,1,6,90,17
2019-01-12,0,6,76,11
2019-01-13,1,4,73,8
2019-01-14,1,6,79,16
2019-01-15,1,8,79,18
2019-01-16,1,8,71,19
2019-01-17,1,8,76,16
2019-01-18,1,6,84,12
2019-01-19,1,6,74,12
2019-01-20,1,4,71,9
2019-01-21,2,6,73,15
2019-01-22,2,7,77,12
2019-01-23,2,9,70,14
2019-01-24,1,7,69,15
2019-01-25,1,7,87,17
2019-01-26,1,11,78,13
2019-01-27,2,6,80,13
2019-01-28,1,7,79,23
2019-01-29,1,7,79,16
2019-01-30,2,8,78,16
2019-01-31,1,6,93,18
2019-02-01,1,8,85,23
2019-02-02,1,10,80,15
2019-02-03,1,5,87,11
2019-02-04,2,3,85,22
2019-02-05,2,6,76,17
2019-02-06,1,4,78,11
2019-02-07,1,5,86,17
2019-02-08,1,6,88,22
2019-02-09,1,6,88,9
2019-02-10,2,7,76,10
2019-02-11,2,7,91,16
2019-02-12,3,7,85,17
2019-02-13,1,8,83,9
2019-02-14,1,8,89,12
2019-02-15,2,7,86,14
2019-02-16,2,8,85,13
2019-02-17,1,7,72,11
2019-02-18,1,9,84,14
2019-02-19,1,8,88,13
2019-02-20,1,10,92,15
2019-02-21,2,7,84,20
2019-02-22,1,5,100,15
2019-02-23,1,5,85,9
2019-02-24,1,5,81,14
2019-02-25,2,8,79,19
2019-02-26,2,8,78,18
2019-02-27,1,12,84,16
2019-02-28,2,7,74,23
2019-03-01,3,9,83,22
2019-03-02,1,6,77,22
2019-03-03,1,5,69,14
2019-03-04,3,12,80,24
2019-03-05,1,6,75,21
2019-03-06,2,10,70,19
2019-03-07,2,7,78,16
2019-03-08,0,10,81,15
2019-03-09,2,7,80,12
2019-03-10,1,7,64,8
2019-03-11,1,7,74,17
2019-03-12,2,6,76,16
2019-03-13,2,10,71,12
2019-03-14,2,8,70,11
2019-03-15,1,7,69,20
2019-03-16,1,7,63,9
2019-03-17,1,7,72,9
2019-03-18,1,9,72,16
2019-03-19,1,11,75,16
2019-03-20,2,12,63,16
2019-03-21,2,7,59,13
2019-03-22,2,8,71,14
2019-03-23,1,9,68,10
2019-03-24,1,5,61,11
2019-03-25,2,6,66,17
2019-03-26,3,6,79,15
2019-03-27,3,7,80,19
2019-03-28,1,7,81,15
2019-03-29,1,6,69,19
2019-03-30,1,7,66,14
2019-03-31,2,6,72,17
2019-04-01,1,10,69,25
